Id_usuario,Id_Steam,Url_usuario,Numero_de_juegos,Id_juego,Nombre_del_juego,Tiempo_jugado_total,Tiempo_jugado_en_2_semanas
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,220,Half-Life 2,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,340,Half-Life 2: Lost Coast,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,240,Counter-Strike: Source,5h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,4000,Garry's Mod,1923h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,2400,The Ship,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,2420,The Ship Single Player,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,2430,The Ship Tutorial,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,17390,Spore,16h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,1250,Killing Floor,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,35420,Killing Floor Mod: Defence Alliance 2,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,550,Left 4 Dead 2,79h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,223530,Left 4 Dead 2 Beta,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,8190,Just Cause 2,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,33910,Arma 2,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,33930,Arma 2: Operation Arrowhead,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,219540,Arma 2: Operation Arrowhead Beta (Obsolete),NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,31280,Poker Night at the Inventory,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,40800,Super Meat Boy,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,42910,Magicka,45h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,91600,Sanctum,8h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,620,Portal 2,2h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,105600,Terraria,124h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,24240,PAYDAY: The Heist,9h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,113200,The Binding of Isaac,24h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,201870,Assassin's Creed Revelations,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,72850,The Elder Scrolls V: Skyrim,91h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,22380,Fallout: New Vegas,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,209080,Guns of Icarus Online,5h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,730,Counter-Strike: Global Offensive,216h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,204300,Awesomenauts,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,214560,Mark of the Ninja,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,204360,Castle Crashers,2h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,200710,Torchlight II,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,205790,Dota 2 Test,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,219640,Chivalry: Medieval Warfare,5h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,232210,Patch testing for Chivalry,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,223470,POSTAL 2,7h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,208480,Assassin's Creed® III,16h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,202970,Call of Duty: Black Ops II,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,202990,Call of Duty: Black Ops II - Multiplayer,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,212910,Call of Duty: Black Ops II - Zombies,47h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,224540,Ace of Spades,8h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,204080,The Showdown Effect,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,220,Half-Life 2,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,340,Half-Life 2: Lost Coast,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,240,Counter-Strike: Source,5h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,4000,Garry's Mod,1923h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,2400,The Ship,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,2420,The Ship Single Player,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,2430,The Ship Tutorial,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,17390,Spore,16h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,1250,Killing Floor,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,35420,Killing Floor Mod: Defence Alliance 2,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,550,Left 4 Dead 2,79h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,223530,Left 4 Dead 2 Beta,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,8190,Just Cause 2,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,33910,Arma 2,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,33930,Arma 2: Operation Arrowhead,1h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,219540,Arma 2: Operation Arrowhead Beta (Obsolete),NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,31280,Poker Night at the Inventory,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,40800,Super Meat Boy,NaN,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,42910,Magicka,45h,NaN
UberDuckLord,76561198046978928,http://steamcommunity.com/id/UberDuckLord,126,91600,Sanctum,8h,NaN
